userid,movie_name,year,rating,movie_id
58298,the reflecting skin,1990,3,the+reflecting+skin+1990
145539,the godfather,1972,5,the+godfather+1972
45853,big hero 6,2014,5,big+hero+6+2014
67815,inception,2010,4,inception+2010
58031,star wars,1977,4,star+wars+1977
68883,two for the seesaw,1962,3,two+for+the+seesaw+1962
20035,spirited away,2001,4,spirited+away+2001
6999,the shawshank redemption,1994,5,the+shawshank+redemption+1994
75584,godzilla against mechagodzilla,2002,3,godzilla+against+mechagodzilla+2002
77335,raiders of the lost ark,1981,4,raiders+of+the+lost+ark+1981
67089,keeping the promise,1997,2,keeping+the+promise+1997
76933,forrest gump,1994,5,forrest+gump+1994
36977,demonic,2015,3,demonic+2015
63371,the road,2009,3,the+road+2009
37593,bolt,2008,4,bolt+2008
139056,whiplash,2014,4,whiplash+2014
128183,spirited away,2001,5,spirited+away+2001
134258,ma che colpa abbiamo noi,2003,4,ma+che+colpa+abbiamo+noi+2003
143391,big buck bunny,2008,3,big+buck+bunny+2008
43774,snow white and the seven dwarfs,1937,5,snow+white+and+the+seven+dwarfs+1937
114823,my neighbor totoro,1988,4,my+neighbor+totoro+1988
71476,life is a miracle,2004,3,life+is+a+miracle+2004
3303,myra breckinridge,1970,3,myra+breckinridge+1970
34995,howls moving castle,2004,4,howls+moving+castle+2004
99658,indiana jones and the last crusade,1989,4,indiana+jones+and+the+last+crusade+1989
97181,frozen,2013,5,frozen+2013
102141,one flew over the cuckoos nest,1975,4,one+flew+over+the+cuckoos+nest+1975
87595,my neighbor totoro,1988,5,my+neighbor+totoro+1988
1891,regarding henry,1991,4,regarding+henry+1991
8693,the shawshank redemption,1994,5,the+shawshank+redemption+1994
90742,raiders of the lost ark,1981,5,raiders+of+the+lost+ark+1981
120174,men in black,1997,3,men+in+black+1997
46963,despicable me 2,2013,3,despicable+me+2+2013
139893,jcvd,2008,3,jcvd+2008
36019,interstellar,2014,5,interstellar+2014
106906,a patch of blue,1965,5,a+patch+of+blue+1965
